Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City C,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
62,M,Master's,Divorced,,724,35199,Business,Unemployed,14,Fair,0.171290926,299838,1,williamstad,Williamstad,NH,United States Minor Outlying Islands,1,2,Low
62,F,Bachelor's,Divorced,,699,49610,Auto,Employed,3,Good,0.245815311,143913,1,west peter,West Peter,ND,Iraq,3,1,Low
23,F,PhD,Divorced,95886,657,31065,Business,Self-employed,14,Excellent,0.481272075,171038,2,deanburgh,Deanburgh,ME,Pitcairn Islands,3,0,Medium
52,M,PhD,Divorced,105510,759,6432,Home,Unemployed,10,Poor,0.361772151,165467,4,jimmyton,Jimmyton,AZ,France,0,1,Medium
66,F,PhD,Married,,637,49515,Auto,Employed,17,Fair,0.457985892,188289,2,douglasburgh,Douglasburgh,NJ,Saudi Arabia,2,2,Low
57,M,High School,Married,111110,611,39318,Home,Self-employed,4,Fair,0.479234447,142743,4,ortizview,Ortizview,KS,Tonga,3,1,Low
35,M,Bachelor's,Widowed,,754,29871,Business,Self-employed,14,Poor,0.430658124,208455,0,donnashire,Donnashire,MN,South Africa,0,2,Low
33,M,Master's,Widowed,83472,774,32268,Home,Employed,18,Good,0.269616423,63784,3,north robin,North Robin,FM,Cote d'Ivoire,0,0,Low
41,Non-binary,Bachelor's,Divorced,88676,763,32983,Auto,Employed,7,Excellent,0.101404468,165629,,rhondamouth,Rhondamouth,AR,Dominica,3,2,Medium
31,F,High School,Divorced,83305,619,8453,Auto,Self-employed,16,Fair,0.186498585,128305,3,royville,Royville,IA,Tokelau,2,1,Medium
36,F,Master's,Widowed,,742,41312,Home,Employed,13,Good,0.245663902,93316,1,lake amandaland,Lake Amandaland,OR,Canada,3,0,Medium
28,Non-binary,High School,Divorced,110982,657,41085,Auto,Self-employed,19,Fair,0.329913965,101905,4,danielshire,Danielshire,MO,Colombia,1,1,Low
60,M,High School,Divorced,29151,643,13960,Auto,Employed,12,Excellent,0.455208,296370,0,west christopherchester,West Christopherchester,GA,Saudi Arabia,4,0,High
39,Non-binary,Bachelor's,Married,43438,635,38202,Auto,Employed,0,Fair,0.352971945,75027,1,lake jeanettechester,Lake Jeanettechester,OK,Saint Barthelemy,3,0,Low
42,F,Bachelor's,Single,103220,781,47726,Personal,Unemployed,14,Poor,0.410534599,231498,3,bishopfurt,Bishopfurt,DE,Seychelles,0,2,Low
65,Non-binary,Master's,Single,117127,723,10765,Home,Unemployed,7,Fair,0.518187649,267514,4,lake janice,Lake Janice,FM,Faroe Islands,4,0,Medium
39,F,High School,Married,105455,701,39395,Business,Unemployed,0,Poor,0.323423958,168154,3,blakeport,Blakeport,NH,Korea,2,0,Low
60,F,Master's,Single,,686,29110,Business,Employed,9,Fair,0.299833413,188369,0,north jordanburgh,North Jordanburgh,KS,Denmark,0,1,High
57,F,PhD,Divorced,52174,740,43639,Personal,Self-employed,19,Fair,0.247618543,295230,4,west rachel,West Rachel,IN,United States of America,0,2,Medium
43,F,Master's,Married,33580,729,46142,Home,Employed,17,Excellent,0.270738278,171226,2,tonyborough,Tonyborough,AR,Uruguay,0,0,Low
67,F,High School,Single,98473,609,10826,Home,Employed,12,Poor,0.189135773,146692,1,north toddport,North Toddport,CT,Gibraltar,3,1,Medium
49,Non-binary,Master's,Divorced,57964,784,32939,Personal,Self-employed,13,Excellent,0.138727072,271637,4,lake scott,Lake Scott,OR,Djibouti,3,2,High
38,F,Bachelor's,Widowed,75427,733,39347,Auto,Employed,14,Excellent,0.289998652,72935,,sueland,Sueland,WI,Solomon Islands,4,2,Medium
50,M,Master's,Single,47597,629,26227,Personal,Employed,11,Poor,0.566530168,48419,0,glassfort,Glassfort,CA,South Africa,0,2,Low
25,F,High School,Single,79919,641,39321,Business,Employed,2,Good,0.432893112,175204,4,lopezmouth,Lopezmouth,NV,Bouvet Island (Bouvetoya),2,0,Low
64,Non-binary,Bachelor's,Widowed,26229,723,34357,Home,Unemployed,8,Good,0.255907951,228431,,jasonmouth,Jasonmouth,AS,Dominica,1,0,Low
46,M,High School,Single,27818,784,12621,Home,Employed,8,Good,0.41765846,250537,1,east cynthiahaven,East Cynthiahaven,DE,Angola,1,0,Medium
51,F,High School,Married,87471,727,46306,Personal,Self-employed,0,Excellent,0.374027958,243131,0,north kyleburgh,North Kyleburgh,GA,United States Minor Outlying Islands,3,2,Low
34,Non-binary,Bachelor's,Married,,681,26996,Auto,Unemployed,4,Excellent,0.225596953,195921,,baileytown,Baileytown,NY,United Kingdom,4,1,Low
52,Non-binary,Bachelor's,Widowed,,637,26279,Business,Unemployed,9,Poor,0.308770592,139517,2,north timothy,North Timothy,IA,Uzbekistan,4,1,Medium
58,Non-binary,High School,Married,71389,629,36521,Business,Employed,0,Excellent,0.230999232,59460,4,west karenborough,West Karenborough,AR,Jersey,2,1,Low
38,M,PhD,Single,36254,764,34850,Personal,Unemployed,17,Poor,0.102855777,267034,3,lake jennifer,Lake Jennifer,SC,Burundi,3,0,Low
21,Non-binary,Bachelor's,Single,67673,756,45423,Auto,Employed,8,Fair,0.48673235,140600,1,harveyshire,Harveyshire,PR,United States Virgin Islands,4,0,Medium
55,Non-binary,Master's,Married,68634,616,14931,Personal,Employed,14,Excellent,0.150456183,50888,4,dawnmouth,Dawnmouth,AL,Chile,1,0,Medium
59,Non-binary,Bachelor's,Widowed,73235,641,24990,Business,Employed,14,Excellent,0.155139337,208265,3,port deniseside,Port Deniseside,VA,Eritrea,3,2,Medium
59,F,High School,Widowed,,674,45672,Auto,Unemployed,6,Poor,0.170319301,87714,3,jamesbury,Jamesbury,NE,Iceland,0,1,Low
34,F,High School,Divorced,60711,794,49036,Personal,Employed,2,Excellent,0.207778046,40929,0,jamesburgh,Jamesburgh,AR,French Polynesia,1,1,Low
69,M,Master's,Widowed,73506,641,17180,Auto,Self-employed,17,Fair,0.490009743,112356,2,stanleyfort,Stanleyfort,ME,Palau,2,0,Medium
59,Non-binary,Bachelor's,Widowed,119770,610,31312,Home,Self-employed,2,Excellent,0.336343682,254292,3,north jeremy,North Jeremy,OK,Bahamas,4,0,Low
27,Non-binary,PhD,Single,100752,788,11174,Auto,Self-employed,18,Good,0.541970659,184725,,lake christy,Lake Christy,MD,Algeria,2,1,High
50,M,High School,Married,65733,710,23688,Auto,Employed,8,Good,0.398310269,168262,4,shaunmouth,Shaunmouth,WI,Estonia,2,0,Medium
30,F,PhD,Widowed,,720,32152,Business,Unemployed,19,Poor,0.52457633,248365,2,henryburgh,Henryburgh,MD,Lebanon,3,2,Medium
28,M,Master's,Married,55521,705,11093,Business,Self-employed,6,Good,0.22690545,262567,3,adamsmouth,Adamsmouth,FL,Armenia,2,2,Medium
60,M,High School,Widowed,81284,606,13511,Personal,Self-employed,17,Poor,0.265344693,257427,1,janiceview,Janiceview,MO,Barbados,3,1,Low
42,Non-binary,PhD,Married,51139,721,9237,Business,Self-employed,11,Good,0.19056768,92048,2,brownshire,Brownshire,IA,Bulgaria,0,2,Low
24,M,PhD,Widowed,42118,745,36080,Home,Self-employed,2,Fair,0.17427184,61514,0,new gregorymouth,New Gregorymouth,TX,Uzbekistan,2,1,Medium
27,Non-binary,High School,Divorced,44281,655,48338,Business,Unemployed,0,Poor,0.102223989,156514,1,new angelaton,New Angelaton,ND,Tuvalu,3,2,Low
38,F,Master's,Widowed,105470,655,29558,Business,Employed,5,Excellent,0.211032539,299540,4,east cody,East Cody,IA,Colombia,4,1,Low
21,F,PhD,Widowed,,764,28936,Business,Self-employed,5,Fair,0.281331003,247846,1,north richardburgh,North Richardburgh,DE,Tunisia,1,2,Low
20,F,Master's,Married,80598,780,6800,Auto,Employed,10,Fair,0.528132886,62849,3,lake richard,Lake Richard,CO,Cambodia,3,1,Low
62,F,Bachelor's,Single,86247,655,38399,Home,Unemployed,8,Fair,0.553008547,34909,3,williamsshire,Williamsshire,DC,Japan,3,0,Medium
37,M,Bachelor's,Widowed,,704,49469,Business,Unemployed,9,Good,0.309489958,173112,3,ortizville,Ortizville,NV,Bolivia,1,2,Low
55,F,Bachelor's,Widowed,20057,620,36104,Home,Self-employed,17,Good,0.251374034,239693,3,michaelport,Michaelport,UT,Guam,2,1,Medium
54,Non-binary,PhD,Widowed,58038,613,43805,Auto,Unemployed,0,Excellent,0.329700846,255228,3,chadfort,Chadfort,AZ,Pakistan,2,0,Low
68,Non-binary,Master's,Divorced,94332,757,24279,Business,Unemployed,5,Poor,0.488562079,138185,4,east juliebury,East Juliebury,OR,Ecuador,0,1,Medium
36,F,Bachelor's,Married,82645,789,7434,Home,Self-employed,3,Excellent,0.268418396,118671,3,ruizstad,Ruizstad,ND,Netherlands,1,1,High
22,M,Bachelor's,Married,70396,698,49006,Business,Unemployed,4,Excellent,0.310770515,48579,4,new timothyville,New Timothyville,MT,Zambia,4,1,Low
50,F,PhD,Single,59687,750,10388,Personal,Employed,16,Fair,0.33473966,284391,,muellerchester,Muellerchester,AR,Palau,2,2,Medium
29,M,PhD,Married,112040,700,42849,Home,Unemployed,7,Fair,0.486272873,158374,3,aaronview,Aaronview,IA,Korea,2,1,Low
67,F,Bachelor's,Divorced,,627,39830,Home,Unemployed,19,Good,0.415600101,193431,0,higginsstad,Higginsstad,OR,Korea,4,1,Low
33,F,High School,Single,23760,736,25229,Home,Employed,4,Poor,0.583522166,218321,0,lake stacey,Lake Stacey,WA,Kiribati,1,1,Low
24,F,PhD,Single,30249,726,35836,Business,Employed,4,Good,0.12695393,44650,,garciamouth,Garciamouth,ND,Reunion,4,1,Low
41,F,Master's,Married,74232,674,23283,Auto,Unemployed,9,Good,0.502526394,182391,1,south matthew,South Matthew,FL,Palestinian Territory,1,2,Medium
57,M,Master's,Married,63827,705,24546,Home,Self-employed,8,Excellent,0.106769675,273499,,west kayla,West Kayla,MO,Grenada,4,0,Low
61,Non-binary,Master's,Divorced,,739,46500,Business,Unemployed,16,Excellent,0.446711928,244445,4,madelinetown,Madelinetown,GU,Zimbabwe,2,0,Medium
54,M,PhD,Married,,724,44021,Business,Employed,1,Excellent,0.375766468,69725,4,west daniel,West Daniel,MO,Botswana,0,0,Low
64,Non-binary,High School,Divorced,,684,24227,Home,Self-employed,5,Poor,0.564502473,170065,,south jonathon,South Jonathon,MN,Jamaica,1,2,Medium
47,Non-binary,Bachelor's,Divorced,54512,725,41491,Auto,Unemployed,12,Fair,0.547373455,178871,4,lake george,Lake George,VI,Lao People's Democratic Republic,2,2,Low
44,F,Master's,Single,92048,724,8098,Business,Self-employed,15,Fair,0.135722077,202812,2,south janetport,South Janetport,MI,Denmark,1,2,Low
46,F,High School,Divorced,91255,768,6770,Personal,Self-employed,14,Fair,0.545419804,31422,2,lopezstad,Lopezstad,MT,Cayman Islands,4,2,Medium
40,M,Bachelor's,Divorced,103137,674,33892,Personal,Self-employed,17,Excellent,0.110059089,71719,2,new latoya,New Latoya,MI,Puerto Rico,4,1,Low
53,F,PhD,Widowed,103710,732,40212,Personal,Self-employed,15,Fair,0.208952539,48849,3,north dave,North Dave,NC,Mozambique,0,1,Low
18,Non-binary,Bachelor's,Married,73140,621,29726,Business,Unemployed,5,Fair,0.376391111,86124,2,fowlerport,Fowlerport,GU,Central African Republic,2,1,Medium
59,Non-binary,High School,Divorced,35847,771,17607,Home,Employed,0,Fair,0.245397554,118020,3,port tylerbury,Port Tylerbury,SC,Sierra Leone,1,0,Medium
60,F,Bachelor's,Divorced,77929,688,42239,Business,Unemployed,12,Excellent,0.432602591,143218,4,new davidport,New Davidport,MI,New Zealand,2,2,Medium
60,F,High School,Single,106813,734,5299,Auto,Unemployed,10,Good,0.448295074,142458,3,port brianland,Port Brianland,PR,Suriname,2,0,Low
35,F,Bachelor's,Divorced,84512,653,39708,Personal,Self-employed,16,Excellent,0.375962071,38333,1,mccoytown,Mccoytown,MP,Western Sahara,1,0,Low
39,M,Bachelor's,Married,27464,720,33721,Business,Unemployed,16,Fair,0.573442751,115977,3,craneton,Craneton,WI,Uzbekistan,3,0,Low
56,F,PhD,Divorced,54121,717,40278,Home,Self-employed,17,Good,0.388242584,158292,1,lake anthonyfurt,Lake Anthonyfurt,SC,Congo,1,1,Medium
38,Non-binary,Bachelor's,Single,30052,788,32003,Home,Self-employed,3,Fair,0.568187351,216472,0,hornefort,Hornefort,ID,British Virgin Islands,2,0,Low
64,F,High School,Divorced,109616,676,12385,Personal,Self-employed,12,Excellent,0.479812569,178465,3,port noahside,Port Noahside,VT,Indonesia,3,1,Low
61,M,PhD,Single,88305,776,38182,Personal,Unemployed,6,Good,0.424870631,233276,1,west thomaston,West Thomaston,WV,Nauru,4,2,High
27,F,Master's,Single,102418,796,29091,Auto,Employed,4,Poor,0.188584497,155939,0,south bobby,South Bobby,FL,Syrian Arab Republic,4,0,Medium
42,F,PhD,Widowed,73533,604,43940,Personal,Self-employed,11,Fair,0.179724188,48664,3,new jeremymouth,New Jeremymouth,LA,Thailand,1,2,Low
29,Non-binary,Master's,Married,28367,632,36262,Home,Unemployed,12,Good,0.417558511,27649,0,christopherside,Christopherside,CO,Romania,2,2,Low
53,F,PhD,Single,90875,712,45981,Business,Employed,6,Poor,0.404206693,190957,4,new luis,New Luis,VI,Algeria,0,1,Medium
49,M,PhD,Widowed,52264,785,16347,Business,Self-employed,13,Excellent,0.190543948,71833,4,lisamouth,Lisamouth,DC,Montserrat,4,0,Low
47,F,Master's,Divorced,52899,659,40878,Business,Unemployed,4,Poor,0.112251384,55538,3,daltonburgh,Daltonburgh,WV,United States Minor Outlying Islands,0,0,Low
23,F,PhD,Divorced,87827,736,23020,Home,Employed,3,Excellent,0.543576078,268052,2,martinezfurt,Martinezfurt,WY,Netherlands,4,0,Medium
20,Non-binary,High School,Widowed,80188,790,18171,Home,Unemployed,18,Excellent,0.519643339,267766,4,south georgehaven,South Georgehaven,MP,Sudan,3,2,High
45,M,Master's,Single,45634,658,40893,Auto,Unemployed,8,Fair,0.369289083,141477,0,west kelly,West Kelly,NV,Bulgaria,2,2,Medium
51,M,Bachelor's,Widowed,,791,49741,Home,Self-employed,8,Poor,0.230275562,230695,0,katherineside,Katherineside,UT,Cameroon,3,2,Low
21,Non-binary,Bachelor's,Single,28951,685,39385,Home,Self-employed,16,Poor,0.461527798,228797,,north mikeville,North Mikeville,MT,Nicaragua,3,1,Medium
40,Non-binary,PhD,Single,,618,13433,Business,Self-employed,2,Good,0.470057366,272008,4,jessicamouth,Jessicamouth,AZ,Sweden,0,2,Low
56,M,Master's,Widowed,98243,680,36289,Auto,Employed,10,Poor,0.411054316,65437,0,perezmouth,Perezmouth,TX,Micronesia,2,0,Medium
31,Non-binary,High School,Single,64293,731,30491,Home,Self-employed,1,Fair,0.198747862,289128,4,davisstad,Davisstad,IN,Latvia,2,0,Low
43,Non-binary,Master's,Single,49473,616,34324,Home,Unemployed,16,Poor,0.169371248,76552,0,harrisonmouth,Harrisonmouth,NY,American Samoa,1,0,Low
45,Non-binary,PhD,Single,,686,38609,Personal,Self-employed,12,Good,0.598371797,39828,2,south tracyside,South Tracyside,NM,Papua New Guinea,0,0,Low
61,F,High School,Single,74941,694,49180,Home,Self-employed,8,Poor,0.466038635,220759,2,freemanfort,Freemanfort,AS,Tonga,4,2,Low
66,Non-binary,Master's,Single,110404,773,12169,Home,Self-employed,6,Poor,0.196919094,178774,1,new rebecca,New Rebecca,NJ,Niue,2,2,Medium
59,Non-binary,High School,Widowed,76614,660,31369,Home,Self-employed,8,Excellent,0.456146793,156578,3,pittmanburgh,Pittmanburgh,FM,Myanmar,1,0,Low
29,F,High School,Widowed,75822,777,14013,Personal,Unemployed,16,Poor,0.563368263,208818,0,kellimouth,Kellimouth,VT,Singapore,3,0,Low
69,M,Bachelor's,Single,93551,679,45218,Auto,Self-employed,13,Poor,0.211712594,90454,3,east laura,East Laura,SD,Anguilla,3,0,Low
56,Non-binary,Master's,Divorced,90410,736,13946,Personal,Self-employed,9,Fair,0.325610261,251037,2,dunnstad,Dunnstad,SD,Anguilla,0,0,Low
53,M,PhD,Single,21073,624,48927,Auto,Self-employed,17,Poor,0.195759599,295156,1,randymouth,Randymouth,WA,Heard Island and McDonald Islands,2,2,Low
39,Non-binary,PhD,Widowed,,627,19295,Personal,Self-employed,13,Excellent,0.286662915,277572,3,rachelmouth,Rachelmouth,IL,British Indian Ocean Territory (Chagos Archipelago),2,0,High
52,Non-binary,High School,Single,83925,730,39535,Business,Self-employed,17,Good,0.412084661,99736,2,thomasbury,Thomasbury,AS,Austria,0,0,Low
26,M,Bachelor's,Divorced,77841,727,23289,Home,Employed,4,Good,0.365692961,245207,0,kaylaborough,Kaylaborough,IN,Congo,3,0,Medium
33,M,Bachelor's,Divorced,106287,720,46599,Personal,Unemployed,3,Poor,0.550111841,87798,3,jacobfort,Jacobfort,VA,France,0,1,Low
61,Non-binary,Bachelor's,Single,96022,657,11217,Home,Employed,2,Excellent,0.586918907,147087,3,south darlene,South Darlene,KY,Congo,3,0,Low
20,Non-binary,PhD,Widowed,62176,659,22893,Home,Employed,5,Fair,0.401019458,248827,,lindamouth,Lindamouth,AL,Madagascar,1,1,Low
59,M,PhD,Widowed,49160,675,46470,Personal,Unemployed,13,Poor,0.102269311,129168,0,wilsonfort,Wilsonfort,ND,Saint Martin,1,1,Low
33,Non-binary,Bachelor's,Married,51688,634,7334,Business,Unemployed,13,Poor,0.323868473,173761,,blairfurt,Blairfurt,NV,Germany,3,2,Medium
25,M,High School,Widowed,112724,665,32967,Home,Unemployed,3,Poor,0.263697635,288405,0,south michael,South Michael,PA,Hong Kong,4,2,Low
64,F,High School,Single,61120,607,27816,Personal,Employed,2,Fair,0.474698889,228310,4,fullermouth,Fullermouth,OR,Timor-Leste,4,0,Low
35,M,Master's,Married,100263,614,32278,Personal,Self-employed,11,Excellent,0.400876652,143203,3,heathershire,Heathershire,KY,Vietnam,0,2,Medium
64,F,Bachelor's,Single,80563,780,33424,Personal,Unemployed,6,Fair,0.142577359,231622,1,south cynthiashire,South Cynthiashire,FM,Liberia,2,0,Medium
53,M,Bachelor's,Single,66371,659,44866,Personal,Employed,10,Poor,0.34818229,21489,,east kirkfurt,East Kirkfurt,MO,Yemen,3,1,Medium
42,M,PhD,Married,82979,772,22896,Home,Employed,5,Excellent,0.193939617,212469,0,chrismouth,Chrismouth,OR,Albania,3,0,Low
56,F,Master's,Single,21267,678,36064,Personal,Self-employed,17,Excellent,0.522015775,184844,3,east kaitlyn,East Kaitlyn,IN,Christmas Island,3,0,High
59,F,High School,Divorced,104658,762,9120,Auto,Employed,2,Excellent,0.41905047,292741,2,new bradley,New Bradley,PR,Liberia,4,0,Medium
39,M,High School,Widowed,96955,726,40171,Auto,Employed,0,Good,0.472520589,214558,1,port christinamouth,Port Christinamouth,PA,Luxembourg,4,1,Low
24,M,Bachelor's,Single,107973,790,38758,Auto,Unemployed,4,Good,0.466280912,248929,2,martinborough,Martinborough,ME,Bangladesh,0,0,Low
23,F,Bachelor's,Single,51509,654,31579,Auto,Employed,1,Good,0.167672408,89921,0,yateshaven,Yateshaven,CO,Western Sahara,4,2,Low
19,M,PhD,Widowed,110546,764,38743,Business,Self-employed,11,Good,0.533341482,163518,4,jamesstad,Jamesstad,DC,Burkina Faso,1,0,Low
25,M,Master's,Divorced,60194,735,17850,Personal,Self-employed,17,Good,0.244986522,162232,0,south gregory,South Gregory,OH,Suriname,1,0,Medium
62,M,Master's,Divorced,86126,614,32243,Personal,Employed,18,Poor,0.260633051,129150,4,powellstad,Powellstad,MI,Bosnia and Herzegovina,3,2,Low
32,M,Bachelor's,Married,67249,608,41939,Personal,Unemployed,12,Fair,0.165102014,120868,1,new shawn,New Shawn,SC,Bangladesh,4,1,Low
19,M,High School,Widowed,23404,623,47752,Auto,Unemployed,3,Poor,0.249608538,206358,1,johnnyberg,Johnnyberg,MN,Indonesia,0,1,Low
35,M,Bachelor's,Divorced,,732,42213,Business,Self-employed,17,Fair,0.459628348,174865,2,williamhaven,Williamhaven,DC,Samoa,0,1,Low
62,M,PhD,Married,41951,768,40314,Auto,Unemployed,16,Poor,0.336717101,185739,,west philipland,West Philipland,AK,Denmark,2,2,Low
25,F,Master's,Married,60667,632,25786,Personal,Self-employed,11,Poor,0.149604964,30718,0,bridgesborough,Bridgesborough,CT,Ukraine,0,1,Low
27,F,Bachelor's,Single,99158,797,19775,Auto,Unemployed,6,Good,0.208157396,293033,0,port mary,Port Mary,FM,Moldova,0,2,High
60,Non-binary,Bachelor's,Widowed,,682,21833,Home,Self-employed,1,Good,0.43103721,153057,3,greenstad,Greenstad,CO,North Macedonia,4,2,High
68,Non-binary,Bachelor's,Widowed,,729,41950,Auto,Self-employed,11,Poor,0.477280353,230223,2,karenstad,Karenstad,IL,Pitcairn Islands,2,1,Medium
32,F,Bachelor's,Married,29402,617,8931,Auto,Self-employed,0,Fair,0.505654922,218891,0,shawnmouth,Shawnmouth,IA,Costa Rica,0,1,Medium
45,F,High School,Married,51712,785,41709,Business,Employed,4,Excellent,0.375616412,44832,4,port jacqueline,Port Jacqueline,IN,Costa Rica,1,2,High
58,Non-binary,High School,Widowed,57429,628,26857,Business,Unemployed,13,Good,0.454140979,291934,0,west crystal,West Crystal,VT,Honduras,1,1,Medium
33,M,Bachelor's,Divorced,48071,619,12598,Auto,Employed,19,Poor,0.157212591,133857,,brandonborough,Brandonborough,NM,Chad,4,1,Low
25,M,Bachelor's,Widowed,,796,26214,Personal,Employed,13,Good,0.176125321,82186,2,north hollyfort,North Hollyfort,NJ,Ireland,0,2,Low
41,M,Master's,Divorced,,790,17398,Auto,Unemployed,1,Fair,0.351069007,213232,4,port kaylahaven,Port Kaylahaven,MO,San Marino,2,1,Low
22,Non-binary,Master's,Divorced,,669,33489,Home,Employed,3,Poor,0.272157169,287878,3,port laurentown,Port Laurentown,FL,Egypt,1,0,Medium
33,Non-binary,Master's,Divorced,,795,23424,Auto,Unemployed,0,Excellent,0.246536118,106036,2,ambershire,Ambershire,NJ,Seychelles,1,2,Low
44,F,Master's,Married,,678,29793,Home,Employed,0,Good,0.264391599,221971,1,south jennifer,South Jennifer,IL,Uzbekistan,2,1,Low
49,F,Master's,Widowed,43390,632,28746,Personal,Employed,2,Excellent,0.196246043,268272,0,new derek,New Derek,PW,Mexico,4,1,Medium
55,F,Master's,Widowed,47041,725,10072,Auto,Employed,19,Fair,0.42131035,126134,1,jamesview,Jamesview,WV,Svalbard & Jan Mayen Islands,3,1,Low
29,F,High School,Married,46576,727,26001,Business,Self-employed,10,Poor,0.157548152,172903,,newtonshire,Newtonshire,PW,Chile,0,0,Medium
28,M,Master's,Divorced,68566,608,33336,Auto,Employed,9,Poor,0.234517814,135142,,port denisefort,Port Denisefort,AR,Western Sahara,1,2,Low
52,M,Bachelor's,Divorced,21711,612,38059,Auto,Employed,1,Fair,0.171777138,28918,2,north bethanychester,North Bethanychester,AS,Bahrain,0,0,Low
33,F,High School,Married,34118,754,12090,Business,Employed,1,Poor,0.179701847,126246,3,dianaburgh,Dianaburgh,PR,Swaziland,1,2,Medium
41,M,Bachelor's,Divorced,56907,725,18324,Auto,Unemployed,14,Good,0.445291313,60679,3,north robintown,North Robintown,OK,Sweden,2,0,Low
39,Non-binary,PhD,Divorced,70541,755,22422,Auto,Self-employed,1,Fair,0.245283863,34883,1,lewisport,Lewisport,PR,Papua New Guinea,2,0,Medium
19,M,High School,Divorced,81791,784,23211,Business,Unemployed,4,Fair,0.219931434,270787,4,new andrew,New Andrew,KS,Papua New Guinea,0,0,Medium
51,M,PhD,Widowed,36433,629,30702,Business,Employed,6,Poor,0.201837808,206986,,nicolefurt,Nicolefurt,CO,Ghana,2,0,Low
19,M,Bachelor's,Widowed,72035,764,49228,Home,Unemployed,18,Fair,0.358724569,223917,4,port sandra,Port Sandra,VA,Lesotho,3,0,Low
62,F,PhD,Divorced,116129,743,16426,Auto,Employed,11,Fair,0.303374165,226135,2,deanberg,Deanberg,AZ,Bhutan,2,1,Low
39,M,PhD,Widowed,,656,48775,Home,Self-employed,13,Excellent,0.446975415,46649,1,austinland,Austinland,GA,French Polynesia,4,0,Low
42,Non-binary,Bachelor's,Divorced,110036,683,31506,Auto,Self-employed,18,Good,0.204191404,203696,1,new jason,New Jason,AL,Guernsey,2,2,Low
38,F,Bachelor's,Divorced,,664,31692,Business,Unemployed,2,Good,0.278923213,100988,1,rogersfurt,Rogersfurt,MA,Maldives,1,1,Low
21,Non-binary,PhD,Single,112783,717,42150,Business,Self-employed,3,Poor,0.598452908,149881,1,east gregory,East Gregory,GU,Mauritius,1,0,Low
31,Non-binary,High School,Widowed,60194,605,37223,Personal,Self-employed,6,Poor,0.596079272,64670,1,jacobburgh,Jacobburgh,MT,El Salvador,0,0,Medium
19,Non-binary,Master's,Single,68245,757,7728,Auto,Self-employed,9,Poor,0.368345397,161602,,patelhaven,Patelhaven,GA,French Polynesia,3,0,Low
51,F,High School,Divorced,47289,710,9627,Home,Self-employed,12,Excellent,0.520210229,103509,1,johnhaven,Johnhaven,OR,Slovenia,0,1,Low
57,F,Master's,Divorced,94319,736,11463,Business,Unemployed,1,Fair,0.25307561,128731,2,nathanshire,Nathanshire,VT,Tunisia,3,0,Low
46,M,Bachelor's,Widowed,,782,6107,Personal,Self-employed,11,Poor,0.147954642,253775,,cynthiaville,Cynthiaville,TN,Portugal,3,1,Low
26,M,Bachelor's,Married,107802,677,31543,Home,Self-employed,7,Good,0.497780908,32709,3,west linda,West Linda,UT,Nigeria,2,1,Low
25,M,Master's,Married,,725,15494,Business,Employed,16,Excellent,0.375594391,234434,,north tracyview,North Tracyview,CO,Dominica,0,1,Low
25,M,PhD,Widowed,39564,610,44606,Auto,Employed,16,Fair,0.57067883,276370,0,kathyshire,Kathyshire,NJ,Bahrain,1,0,High
22,F,Master's,Single,,664,16158,Auto,Employed,2,Poor,0.569864926,146691,4,christinemouth,Christinemouth,MS,Portugal,1,1,High
25,M,High School,Married,,646,9226,Business,Self-employed,15,Poor,0.557796983,143015,2,north anthonyfurt,North Anthonyfurt,MO,Djibouti,1,2,Medium
43,M,Bachelor's,Divorced,94248,742,19202,Business,Employed,19,Poor,0.476915918,213838,4,sharpland,Sharpland,LA,Nauru,0,0,Low
56,Non-binary,PhD,Divorced,88345,784,16841,Personal,Self-employed,1,Good,0.206919065,246057,3,taylorburgh,Taylorburgh,NJ,Croatia,4,1,Medium
38,M,High School,Single,42797,684,40775,Auto,Unemployed,3,Poor,0.325350031,82290,2,mccormickville,Mccormickville,MP,Greece,2,1,Low
45,M,High School,Divorced,,783,39374,Business,Self-employed,14,Poor,0.43342766,44651,,east allenfort,East Allenfort,WI,Svalbard & Jan Mayen Islands,2,1,Low
62,F,Master's,Single,78900,603,12020,Personal,Unemployed,11,Fair,0.153595451,143561,3,maryburgh,Maryburgh,DE,Lithuania,4,2,Low
35,Non-binary,PhD,Married,91727,777,45814,Auto,Self-employed,15,Good,0.551680527,270058,,east lacey,East Lacey,ME,Bermuda,0,2,Low
67,F,PhD,Widowed,,637,33313,Auto,Self-employed,16,Poor,0.583728725,246015,1,east samuel,East Samuel,PA,Bolivia,3,0,Medium
58,M,PhD,Divorced,75162,675,25168,Business,Employed,0,Fair,0.259090441,298413,,west sarahhaven,West Sarahhaven,MN,Cape Verde,1,2,High
56,F,High School,Married,64514,724,27346,Personal,Self-employed,14,Poor,0.288852208,257013,1,harrischester,Harrischester,MT,Niger,3,2,Medium
61,Non-binary,Master's,Married,,783,23193,Business,Unemployed,16,Good,0.365034785,187088,2,north troy,North Troy,VI,Western Sahara,2,1,Medium
